bibcode,url,title,abstract,pubdate,author,keywords
2017LPICo2041.5031H,https://www.hou.usra.edu/meetings/leag2017/pdf/5031.pdf,The Lunar Water Assessment Transport Evolution and Resource (WATER) Mission Concept Study,We will describe the Lunar Water Assessment Transport Evolution and Resource mission concept study that is funded under the NASA PSDS3 program.,2017-10-00,"Hibbitts, C. A.; Blewett, D.; Brandt, P.; Burke, L.; Clyde, B.; Cohen, B.; Dankanich, J.; Hurley, D.; Klima, R.; Lawrence, D.; Patterson, W.; Plescia, J.; Sunshine, J.; Westlake, J.",
2017LPICo2041.5032I,https://www.hou.usra.edu/meetings/leag2017/pdf/5032.pdf,Structural Members Produced from Unrefined Lunar Regolith Simulant,This topic will present data analysis and findings from experimental results from sintered lunar simulant testing for material properties.,2017-10-00,"Indyk, S.; Benaroya, H.",
2017LPICo2041.5033S,https://www.hou.usra.edu/meetings/leag2017/pdf/5033.pdf,Enabling Mid-Infrared Spectral Analysis on the Lunar Surface,Mid-infrared spectroscopy is a powerful tool in identifying areas of scientific or exploratory interest. Here we demonstrate the necessity of a simulated lunar environment spectral database to be used in conjunction with handheld MIR instruments.,2017-10-00,"Shirley, K. A.; Glotch, T. D.; Ito, G.; Rogers, A. D.",
2017LPICo2041.5034S,https://www.hou.usra.edu/meetings/leag2017/pdf/5034.pdf,Modeling Sodium Abundance Variations in the Lunar Crust: A Likely Proxy of Past Solar System History and a Potential Guide to Close-In Rocky Exoplanets,The initial sodium budget of the Moon may have been depleted/transported from the surface post-formation. Abundance variations in crustal samples may be a powerful tool towards exploring conditions on the Moon's surface through solar system history.,2017-10-00,"Saxena, P.; Killen, R. M.; Petro, N. E.; Airapetian, V.; Mandell, A. M.",
2017LPICo2041.5035S,https://www.hou.usra.edu/meetings/leag2017/pdf/5035.pdf,"The Robotic Architecture of Moon Express: Exploration, Resources, and Delivery",Moon Express has recently released a planetary exploration architecture that describes a variety of spacecraft configurations that may be combined and configured to carry out a variety of missions to the Moon and in cislunar and deep space.,2017-10-00,"Spudis, P. D.; Richards, R. D.",
2017LPICo2041.5036F,https://www.hou.usra.edu/meetings/leag2017/pdf/5036.pdf,DREAM2 Studies in Support of Human Exploration of the Moon,We describe some of the exploration-enabling activities of the DREAM2 team.,2017-10-00,"Farrell, W. M.; Killen, R. M.; Delory, G. T.; Dream2 Team",
2017LPICo2041.5037W,https://www.hou.usra.edu/meetings/leag2017/pdf/5037.pdf,Diurnal Variation of Lunar Albedo Proton Yield and Hydrogenation,"The quantity of hydrogen or hydrogen-bearing molecules in the top 10 cm of lunar regolith may vary significantly with local time, according to albedo proton data collected by LRO/CRaTER.",2017-10-00,"Wilson, J. K.; Schwadron, N. A.; Jordan, A. P.; Looper, M. D.; Zeitlin, C.; Townsend, L. W.; Spence, H. E.; Legere, J.; Bloser, P.; Farrell, W.; Hurley, D.; Petro, N.; Stubbs, T. J.; Pieters, C.",
2017LPICo2041.5038L,https://www.hou.usra.edu/meetings/leag2017/pdf/5038.pdf,The Far-UV Wavelength Dependence of the Lunar Phase Curve as Seen by LRO LAMP,"In this study we discuss the Far-UV wavelength dependence of the lunar phase curves for sample mare and highlands as seen by the LAMP instrument, and we report current derived Hapke parameters at Far-UV wavelengths for the study areas.",2017-10-00,"Liu, Y.; Retherford, K. D.; Greathouse, T. K.; Hendrix, A. R.; Cahill, J. T. S.; Mandt, K. E.; Gladstone, G. R.; Grava, C.; Egan, A. F.; Kaufmann, D. E.; Pryor, W. R.",
2017LPICo2041.5039D,https://www.hou.usra.edu/meetings/leag2017/pdf/5039.pdf,Integrating Diverse Datasets to Assess Approaches for Characterizing Mare Basalts,This research utilizes new LROC data to re-evaluate the composition of the mare basalt flows in the Marius Hills Volcanic Complex to provide new insights about the relative ages of the low shields and surrounding flows.,2017-10-00,"Deitrick, S. R.; Lawrence, S. J.",
2017LPICo2041.5040D,https://www.hou.usra.edu/meetings/leag2017/pdf/5040.pdf,A New Approach Towards Deployment of Far Side Lunar SETI Using a Tethered Link to a Near Side Antenna,"Keeping in pace with the recent growth in interest in deployable space telescopes for detection of extra-solar objects, we suggest a feasible approach to make a lunar far side SETI mission a reality with the technology. available today.",2017-10-00,"Datta, L. V.; Guven, U.; Goel, E.",
2017LPICo2041.5041H,https://www.hou.usra.edu/meetings/leag2017/pdf/5041.pdf,Field Test of Route Planning Software for Lunar Polar Missions,"A novel field test paradigm has been developed to demonstrate and validate route planning software in the stark low-angled light and sweeping shadows a rover would experience at the poles of the Moon. Software, ConOps, and test results are presented.",2017-10-00,"Horchler, A. D.; Cunningham, C.; Jones, H. L.; Arnett, D.; Fang, E.; Amoroso, E.; Otten, N.; Kitchell, F.; Holst, I.; Rock, G.; Whittaker, W.",
2017LPICo2041.5042K,https://www.hou.usra.edu/meetings/leag2017/pdf/5042.pdf,Astrobotic Research and Development: New Technology for Lunar Science and Exploration,Astrobotic will present recent work on a range of space robotics technologies relevant to the lunar science and exploration communities.,2017-10-00,"Kitchell, J. F.; Horchler, A. D.; Snyder, K.; Amoroso, E.",
2017LPICo2041.5043S,https://www.hou.usra.edu/meetings/leag2017/pdf/5043.pdf,Robust Navigation for Autonomous Exploration of Extreme Environments from a Free-Flying Platform,"Free flying vehicles have the mobility to explore scientifically interesting extreme environments, such as permanently shadowed regions and lava tubes, but require robust and precise navigation to operate safely and autonomously.",2017-10-00,"Snyder, K.; Amoroso, E.; Kitchell, F.; Horchler, A. D.",
2017LPICo2041.5044K,https://www.hou.usra.edu/meetings/leag2017/pdf/5044.pdf,Asymmetric Ejecta Emplacement from South Pole-Aitken Basin: 3D Hydrocode Modeling Results,"Using high-resolution 3D impact hydrocodes, we model the ejecta emplacement from the South Pole-Aitken basin-forming impact. We find the Moon's upper mantle material is likely exposed in close proximity to the basin's north rim and farside highlands.",2017-10-00,"Kendall, J. D.",
2017LPICo2041.5045P,https://www.hou.usra.edu/meetings/leag2017/pdf/5045.pdf,The Lunar Reconnaissance Orbiter: A Focused Study of Fundamental Solar System Processes at the Moon,"The LRO mission is midway through a two-year extension, to study the fundamental processes recorded on the Moon. LRO's instruments are measuring processes that operate at the Moon and throughout the solar system, especially on airless bodies.",2017-10-00,"Petro, N. E.; Keller, J. W.",
2017LPICo2041.5046P,https://www.hou.usra.edu/meetings/leag2017/pdf/5046.pdf,Mini-RF S- and X-Band Bistatic Radar Observations of the Moon,Mini-RF is operating in concert with the Arecibo Observatory and the Goldstone DSS-13 antenna to collect bistatic radar data. We will provide an update on science questions being addressed by the Mini-RF team in the current LRO extended mission.,2017-10-00,"Patterson, G. W.; Carter, L. M.; Stickle, A. M.; Cahill, J. T. S.; Nolan, M. C.; Morgan, G. A.; Schroeder, D. M.; Mini-RF Team",
2017LPICo2041.5047B,https://www.hou.usra.edu/meetings/leag2017/pdf/5047.pdf,Determining the Mineralogy of Lunar Samples Using Micro Raman Spectroscopy: Comparisons Between Polished and Unpolished Samples,"Raman spectroscopy is a versatile non-destructive analytical technique that provides compositional and contextual information for geologic samples, including lunar rocks. We have analyzed a suite of Apollo 16 samples using micro Raman spectroscopy.",2017-10-00,"Bower, D. M.; Curran, N. M.; Cohen, B. A.",
2017LPICo2041.5048L,https://www.hou.usra.edu/meetings/leag2017/pdf/5048.pdf,The Lunar Volatiles Orbiter: A Lunar Discovery Mission Concept,The Lunar Volatiles Orbiter is a discovery-class mission concept which leverages the spacecraft design and operations experience of LRO. LVO is aimed at understanding the current state of volatiles on the Moon with an emphasis on current dynamics.,2017-10-00,"Lucey, P. G.; Petro, N. E.; Hurley, D.; Farrell, W.; Sun, X.; Green, R.; Greenberger, R.; Cameron, D.",
2017LPICo2041.5049K,https://www.hou.usra.edu/meetings/leag2017/pdf/5049.pdf,Building on the Cornerstone Mission: Focused LRO Workshops to Support Science Team Synergies,"During the Cornerstone Mission, the LRO instrument teams have identified a number of key science themes that drive their observations during the extended mission. These themes serve as a basis for the identification of the thematic workshops.",2017-10-00,"Keller, J. W.; Petro, N. E.",
2017LPICo2041.5050R,https://www.hou.usra.edu/meetings/leag2017/pdf/5050.pdf,Far-Ultraviolet Bidirectional Photometry of Apollo Soil 10084: Laboratory Studies in the Southwest Ultraviolet Reflectance Chamber (SwURC),"We present new far-ultraviolet bidirectional reflectance spectra of Apollo soil 10084. The FUV spectra this mare soil is featureless, though with a small blue slope. Increased reflectance at high phase imply the grains forward-scatter FUV photons.",2017-10-00,"Raut, U.; Karnes, P. L.; Retherford, K. D.; Davis, M. W.; Patrick, E. L.; Liu, Y.; Mokashi, P.",
2017LPICo2041.5051C,https://www.hou.usra.edu/meetings/leag2017/pdf/5051.pdf,The Onset of the Cataclysm: In Situ Dating of the Nectaris Basin Impact Melt Sheet,The impact history of the Moon has significant implications for solar system dynamics and evolution. We are working on a potential Discovery mission concept that would directly constrain the onset of the cataclysm by dating the Nectaris Basin.,2017-10-00,"Cohen, B. A.",
2017LPICo2041.5052J,https://www.hou.usra.edu/meetings/leag2017/pdf/5052.pdf,Spectral Unmixing Modeling of the Aristarchus Pyroclastic Deposit: Assessing Eruptive History and Exploration Potential of Glass-Rich Regional Lunar Pyroclastic Deposits,Spectral modeling of the Aristarchus pyroclastic deposit shows that the Moon's largest explosive volcanic deposit is rich in high-titanium volcanic glass. This lunar pyroclastic deposit is of importance for both scientific and exploration purposes.,2017-10-00,"Jawin, E. R.; Head, J. W.; Cannon, K. M.",
2017LPICo2041.5053R,https://www.hou.usra.edu/meetings/leag2017/pdf/5053.pdf,MAPSIT and a Roadmap for Lunar and Planetary Spatial Data Infrastructure,"We describe MAPSIT, and the development of a roadmap for lunar and planetary SDI, based on previous relevant documents and community input, and consider how to best advance lunar science, exploration, and commercial development.",2017-10-00,"Radebaugh, J.; Archinal, B.; Beyer, R.; DellaGiustina, D.; Fassett, C.; Gaddis, L.; Hagerty, J.; Hare, T.; Laura, J.; Lawrence, S. J.; Mazarico, E.; Naß, A.; Patthoff, A.; Skinner, J.; Sutton, S.; Thomson, B. J.; Williams, D.",
2017LPICo2041.5054H,https://www.hou.usra.edu/meetings/leag2017/pdf/5054.pdf,Canadian Space Agency Activities and Science Priorities Related to Lunar Surface Exploration,"Canadian Space Agency activities: Canadian science priorities for lunar surface exploration, rover technology development, mission concept study for rover element of lunar sample return.",2017-10-00,"Hipkin, V. J.; Picard, M.; Haltigin, T.; Gonthier, Y.; Lange, C.; Jean, P.",
2017LPICo2041.5055L,https://www.hou.usra.edu/meetings/leag2017/pdf/5055.pdf,Water in Pyroclastic Deposits and Cold Traps on the Moon: Possible Resources for Future Exploration,We propose two types of water reservoirs for future exploration of the lunar resources. Both advantages and challenges of exploring the two types of water reservoirs are analyzed.,2017-10-00,"Li, S.; Lucey, P. G.; Milliken, R. E.",
2017LPICo2041.5056R,https://www.hou.usra.edu/meetings/leag2017/pdf/5056.pdf,Lunar Volcanic History from In-Situ Morphological Analyses,"We present a new method requiring no sample collection to assess the thermal evolution of lunar volcanic deposits, providing key information on eruptive history of volcanic areas on the Moon.",2017-10-00,"Rader, E. L.; Heldmann, J. L.",
2017LPICo2041.5057S,https://www.hou.usra.edu/meetings/leag2017/pdf/5057.pdf,The Anatomy of the Blue Dragon: Changes in Lava Flow Morphology and Physical Properties Observed in an Open Channel Lava Flow as a Planetary Analogue,"We present the relationship of lava flow morphology and the physical properties of the rocks based on terrestrial field work, and how this can be applied to infer physical properties of lunar lava flows.",2017-10-00,"Sehlke, A.; Kobs Nawotniak, S. E.; Hughes, S. S.; Sears, D. W.; Downs, M. T.; Whittington, A. G.; Lim, D. S. S.; Heldmann, J. L.",
2017LPICo2041.5058T,https://www.hou.usra.edu/meetings/leag2017/pdf/5058.pdf,Numerical Models of Volatiles Loss During Lunar Resource Prospector Mission Sample Acquisition,"In the context of the NASA's Resource Prospector, we developed new numerical models of the volatiles transport in lunar regolith.",2017-10-00,"Teodoro, L. F.; Colaprete, A.; Roush, T.; Elphic, R.; Cook, A.; Kleinhenz, J.; Fritzler, E.; Smith, J. T.; Zacny, K.",
2017LPICo2041.5059H,https://www.hou.usra.edu/meetings/leag2017/pdf/5059.pdf,Low-Frequency Moon-Based Radio-Interferometer for Earth Studies,"We suggest that the concept of a Moon-based array of microwave antennas and up-gradable electronics, facing the Earth, to measure soil moisture, sea surface salinity, etc. be matured.",2017-10-00,"Hudson, D.; De Amici, G.",
2017LPICo2041.5060T,https://www.hou.usra.edu/meetings/leag2017/pdf/5060.pdf,CubeRovers for Lunar Exploration,"CubeRover is a 2-kg class of lunar rover that seeks to standardize and democratize surface mobility and science, analogous to CubeSats. This CubeRover will study in-situ lunar surface trafficability and descent engine blast ejecta phenomena.",2017-10-00,"Tallaksen, A. P.; Horchler, A. D.; Boirum, C.; Arnett, D.; Jones, H. L.; Fang, E.; Amoroso, E.; Chomas, L.; Papincak, L.; Sapunkov, O. B.; Whittaker, W. L.",
2017LPICo2041.5061K,https://www.hou.usra.edu/meetings/leag2017/pdf/5061.pdf,"Building the Foundations for a Large-Scale, Cross-Sector Collaboration for a Sustainable and Permanent Return to the Lunar Surface","This presentation will describe how to build the foundations needed for a large scale, cross-industry collaboration to enable a sustainable and permanent return to the Moon based on system leadership, cross-sector partnership, and inclusive business.",2017-10-00,"Kapoglou, A.",
2017LPICo2041.5062M,https://www.hou.usra.edu/meetings/leag2017/pdf/5062.pdf,Science and Antenna Array Trade Studies for Low Frequency Radio Observatories on the Lunar Surface,"A ""low-frequency"" radio astronomy observatory on the lunar surface would serve to address science goals that cannot be achieved by ground-based observatories. We describe status and plans for such an observatory.",2017-10-00,"MacDowall, R. J.; Burns, J. O.",
2017LPICo2041.5063C,https://www.hou.usra.edu/meetings/leag2017/pdf/5063.pdf,Technology Demonstration of Extended Operations for Volatile Prospecting and Processing in Lunar Permanently Shadowed Regions Enabled by Advanced Radioisotope Power,An extended demonstration mission for the purpose of validating advanced radioisotope power system in concert with ISRU systems in a permanently shadowed region.,2017-10-00,"Cataldo, R. L.; Kleinhenz, J. E.; Sanders, G. B.",
2017LPICo2041.5064C,https://www.hou.usra.edu/meetings/leag2017/pdf/5064.pdf,Development of Mission Enabling Infrastructure — Cislunar Autonomous Positioning System (CAPS),"Advanced Space, LLC is developing the Cislunar Autonomous Positioning System (CAPS) which would provide a scalable and evolvable architecture for navigation to reduce ground congestion and improve operations for missions throughout cislunar space.",2017-10-00,"Cheetham, B. W.",
2017LPICo2041.5065Z,https://www.hou.usra.edu/meetings/leag2017/pdf/5065.pdf,Technologies for Lunar Exploration,"Honeybee Robotics, with its partners, developed numerous technologies for lunar exploration. Most of these technologies are at high TRL and have been designed for small landers, rovers, as well as astronauts. This abstract presents several of these technologies.",2017-10-00,"Zacny, K.; Indyk, S.",
2017LPICo2041.5066P,https://www.hou.usra.edu/meetings/leag2017/pdf/5066.pdf,Development and Testing of a Lunar Resource Prospector Drill,We present update on development and testing of a sampling drill for the Resource Prospector mission.,2017-10-00,"Paulsen, G.; Zacny, K.; Kleinhenz, J.; Smith, J.; Quinn, J.; Kim, D.; Mank, Z.; Wang, A.; Thomas, T.; Hyman, C.; Mellerowicz, B.; Yaggi, B.; Fitzgerald, Z.; Ridilla, A.; Atkinson, J.",
2017LPICo2041.5067C,https://www.hou.usra.edu/meetings/leag2017/pdf/5067.pdf,Magnetic Field Measurements on the Lunar Surface: Lessons Learned from Apollo and Science Enabled by Future Missions,"We discuss the science to be enabled by new magnetometer measurements on the lunar surface, based on results from Apollo and other lunar missions. Also discussed are approaches to deploying magnetometers on the lunar surface with today's technology.",2017-10-00,"Chi, P. J.",
2017LPICo2041.5068N,https://www.hou.usra.edu/meetings/leag2017/pdf/5068.pdf,A Moon Sample Return Campaign Will Advance Lunar and Solar System Science and Exploration,Using private commercial companies to initiate a lunar sample return campaign funded by NASA Planetary Science Division that will advance lunar and solar system science and exploration.,2017-10-00,"Neal, C. R.; Lawrence, S. J.",
2017LPICo2041.5069K,https://www.hou.usra.edu/meetings/leag2017/pdf/5069.pdf,Scientific Outreach of the Lunar Expedition I.0 in the Lunares Habitat in Poland,Lunares is a chronobiological laboratory to perform advanced studies on humans in controlled MoonMars conditions. Results from The Lunar Expedition I.0 reveal unique properties of the base for future human spaceflight investigation.,2017-10-00,"Kołodziejczyk, A. M.; Rudolf, A.; Gocyła, M.; Młyńczak, M.; Wierzejska, E.; Waśniowski, A.; Davidova, L.; Konorski, P.; Słonina, M.; Budzyń, D.; Kuźma, J.; Ambroszkiewicz, G.; Harasymczuk, M.; Foing, B. H.",
2017LPICo2041.5070D,https://www.hou.usra.edu/meetings/leag2017/pdf/5070.pdf,"Lunar, Cislunar, Near/Farside Laser Retroreflectors for the Accurate: Positioning of Landers/Rovers/Hoppers/Orbiters, Commercial Georeferencing, Test of Relativistic Gravity, and Metrics of the Lunar Interior","We developed next-generation lunar, cislunar, near/farside laser retroreflectors for the improved/accurate: Positioning of landers/rovers/hoppers/orbiters, commercial georeferencing, test of relativistic gravity, and metrics of the lunar interior.",2017-10-00,"Dell'Agnello, S.; Currie, D.; Ciocci, E.; Contessa, S.; Delle Monache, G.; March, R.; Martini, M.; Mondaini, C.; Porcelli, L.; Salvatori, L.; Tibuzzi, M.; Bianco, G.; Vittori, R.; Chandler, J.; Murphy, T.; Maiello, M.; Petrassi, M.; Lomastro, A.",
2017LPICo2041.5071A,https://www.hou.usra.edu/meetings/leag2017/pdf/5071.pdf,MoonMars Astronaut and CapCom Protocols: ESTEC and LunAres PMAS Simulations,"ILEWG developed since 2008 a Mobile Laboratory Habitat (ExoHab) at ESTEC which was tested during a short simulation in July. It was a foretaste of the PMAS mission on 31 July-14 August in LunAres base at Pila, with mission control in Torun, Poland.",2017-10-00,"Authier, L.; Blanc, A.; Foing, B. H.; Lillo, A.; Evellin, P.; Kołodziejczyk, A.; Heinicke, C.; Harasymczuk, M.; Chahla, C.; Tomic, A.; Hettrich, S.; PMAS Astronauts",
2017LPICo2041.5072B,https://www.hou.usra.edu/meetings/leag2017/pdf/5072.pdf,Logistics for MoonMars Simulation Habitats: ExoHab ESTEC and LunAres Poland,ILEWG developed within EuroMoonMars research programme since 2008 a Mobile Laboratory Habitat (ExoHab) at ESTEC. Its organization led to logistic concerns our team had to work on. We contributed also to the installation of LunAres in Poland.,2017-10-00,"Blanc, A.; Authier, L.; Foing, B. H.; Lillo, A.; Evellin, P.; Kołodziejczyk, A.; Heinicke, C.; Harasymczuk, M.; Chahla, C.; Tomic, A.; Hettrich, S.",
2017LPICo2041.5073F,https://www.hou.usra.edu/meetings/leag2017/pdf/5073.pdf,"ILEWG EuroMoonMars Research, Technology, and Field Simulation Campaigns","ILEWG developed since 2008, ""EuroMoonMars"" pilot research with a Robotic Test Bench (ExoGeoLab) and a Mobile Laboratory Habitat (ExoHab) at ESTEC. Field campaigns were e.g. in ESTEC, EAC, at Utah MDRS, Eifel, and LunAres base at Pila Poland in 2017.",2017-10-00,"Foing, B. H.; Lillo, A.; Evellin, P.; Kołodziejczyk, A.; Heinicke, C.; Harasymczuk, M.; Authier, L.; Blanc, A.; Chahla, C.; Tomic, A.; Mirino, M.; Schlacht, I.; Hettrich, S.; Pacher, T.; Maller, L.; Decadi, A.; Villa-Massone, J.; Preusterink, J.; Neklesa, A.; Barzilay, A.; Volkova, T.",
2017LPICo2041.5074G,https://www.hou.usra.edu/meetings/leag2017/pdf/5074.pdf,The Status of Restoration of Moon Mineralogy Mapper Data,We present an update on the status of our geometric and geodetic restoration of the Moon Mineralogy Mapper data.,2017-10-00,"Gaddis, L. R.; Boardman, J.; Malaret, E.; Besse, S.; Weller, L.; Edmundson, K.; Kirk, R.; Archinal, B.; Sides, S.",
2017LPICo2041.5075E,https://www.hou.usra.edu/meetings/leag2017/pdf/5075.pdf,2017 EuroMoonMars Analog Habitat Preparation at ESTEC,The 2017 EuroMoonMars analog habitat aims at testing viable concepts of laboratories and habitats to optimize the scientific results of the first crew members of the MoonVillage. The focus is made on developing and testing breakthrough experiments.,2017-10-00,"Evellin, P.; Foing, B. H.; Lillo, A.; Kołodziejczyk, A.; Authier, L.; Blanc, A.; Chahla, C.; Tomic, A.",
2017LPICo2041.5076E,https://www.hou.usra.edu/meetings/leag2017/pdf/5076.pdf,"Resource Prospector, the Decadal Survey, and the Scientific Context for the Exploration of the Moon","The ISRU-focused Resource Prospector mission will address key questions about lunar polar volatiles set out in the Decadal Survey, as well as goals in the Scientific Context for the Exploration of the Moon.",2017-10-00,"Elphic, R. C.; Colaprete, A.; Andrews, D. R.",
2017LPICo2041.5077P,https://www.hou.usra.edu/meetings/leag2017/pdf/5077.pdf,Lunar SKGs: What's Really Needed and What Do We Already Know?,"The distinction between enabling and enhancing SKGs must be maintained. The key unknown is the species, form, and distribution of H in polar regions and it can only be addressed by in situ exploration. The commercial role in resource SKGs is unclear.",2017-10-00,"Plescia, J. B.",
2017LPICo2041.5078L,https://www.hou.usra.edu/meetings/leag2017/pdf/5078.pdf,Constructing Lunar Neutron Flux Maps with LRO/LEND Sensor Field of View,Neutron instrumentation is essential to characterize the quantity and location of hydrogen-rich deposits in lunar regolith as well as iron-group elements. Accurate mapping requires incorporating the spatial resolution of the detection system.,2017-10-00,"Livengood, T. A.; Chin, G.; Mitrofanov, I. G.; Boynton, W. V.; Harshman, K. P.; Litvak, M. L.; McClanahan, T. P.; Sagdeev, R. Z.; Sanin, A. B.; Starr, R. D.; Su, J. J.",
2017LPICo2041.5079L,https://www.hou.usra.edu/meetings/leag2017/pdf/5079.pdf,Remote Operation of the ExoGeoLab Lander at ESTEC and Lunares Base,The ExoGeoLab Lander is a prototype developed to demonstrate joint use of remote operation and EVA astronaut work in analogue lunar environment. It was recently deployed in the new analogue base Lunares in Poland and controlled from ESA ESTEC center.,2017-10-00,"Lillo, A.; Foing, B. H.; Evellin, P.; Kołodziejczyk, A.; Jonglez, C.; Heinicke, C.; Harasymczuk, M.; Authier, L.; Blanc, A.; Chahla, C.; Tomic, A.; Mirino, M.; Schlacht, I.; Hettrich, S.; Pacher, T.",
2017LPICo2041.5080B,https://www.hou.usra.edu/meetings/leag2017/pdf/5080.pdf,Measuring the Value of AI in Space Science and Exploration,"FDL is tackling knowledge gaps useful to the space program by forming small teams of industrial partners, cutting-edge AI researchers and space science domain experts, and tasking them to solve problems that are important to NASA as well as humanity's future.",2017-10-00,"Blair, B.; Parr, J.; Diamond, B.; Pittman, B.; Rasky, D.",
2017LPICo2041.5081B,https://www.hou.usra.edu/meetings/leag2017/pdf/5081.pdf,Modeling PPP Economic Benefits for Lunar ISRU,A new tool is needed for selecting the PPP strategy that could maximize the rate of lunar commercialization by attracting private capital into the development of critical infrastructure and robust capability. A PPP model under development for NASA-ESO will be described.,2017-10-00,"Blair, B.",
2017LPICo2041.5082A,https://www.hou.usra.edu/meetings/leag2017/pdf/5082.pdf,"Pb-pb Dating for Miller Range 05035, La Paz Icefield 02205, and Northwest Africa 032 Using CODEX","We have produced new Pb-Pb dates of Miller Range 05035, La Paz Icefield 02205, and Northwest Africa 032 using CODEX, illustrating how in-situ dating can assess age and isotopic reservoirs.",2017-10-00,"Anderson, F. S.; Levine, J.; Whitaker, T. J.",
2017LPICo2041.5083N,https://www.hou.usra.edu/meetings/leag2017/pdf/5083.pdf,Live from the Moon ExoLab: EuroMoonMars Simulation at ESTEC 2017,"Space enthusiasts simulated the landing on the Moon having pre-landed Habitat ExoHab, ExoLab 2.0, supported by the control centre on Earth. We give here the first-hand experience from a reporter (A.N.) who joined the space crew.",2017-10-00,"Neklesa, A.; Foing, B. H.; Lillo, A.; Evellin, P.; Kołodziejczyk, A.; Jonglez, C.; Heinicke, C.; Harasymczuk, M.; Authier, L.; Blanc, A.; Chahla, C.; Tomic, A.; Mirino, M.; Schlacht, I.; Hettrich, S.; Pacher, T.",
2017LPICo2041.5085H,https://www.hou.usra.edu/meetings/leag2017/pdf/5085.pdf,Transfer and Parse Orbit Momentum Management System Architecture,Delta V conservative mass transport using orbital tethers at the Moon delivers science and human infrastructure payload mass without need for expendable propulsion as part of the payload platter.,2017-10-00,"Harris, T. H. S.",
2017LPICo2041.5086V,https://www.hou.usra.edu/meetings/leag2017/pdf/5086.pdf,Safety and Comfort for Moon and MARS Habitats: Key Design Considerations,Safety requirements are critical in designing for any extreme environment and especially for habitats in space and on Moon or Mars. But safety alone is not enough when designing for long-term missions in extreme environments on Earth and in space.,2017-10-00,"Volkova, T. V.; Bannova, O. K.",
2017LPICo2041.5087T,https://www.hou.usra.edu/meetings/leag2017/pdf/5087.pdf,Growing Plants at a MoonMars Base or/and Dedicated External Space,"We developed an experiment growing plants for the human use, as a food or/and additional oxygen/energy source, that could be adapted on a Moon lander.",2017-10-00,"Tomic, A.; Authier, L.; Blanc, A.; Foing, . H.; Lillo, A.; Evellin, P.; Kołodziejczyk, A.; Heinicke, C.; Harasymczuk, M.; Chahla, C.; Hettrich, S.",
2017LPICo2041.5088I,https://www.hou.usra.edu/meetings/leag2017/pdf/5088.pdf,ispace and the Lunar Missions Ahead,"The presentation will introduce ispace's three-step vision beyond GLXP, the technology that ispace is developing for lunar exploration, and opportunities for the scientific community throughout our mission.",2017-10-00,"Ichikawa, R.",
2017LPICo2041.5089H,https://www.hou.usra.edu/meetings/leag2017/pdf/5089.pdf,Space Transportation Network Analysis for Cislunar Space Economy with Lunar Resources,This work provides a transportation network analysis of lunar exploration architecture and cislunar mission design with lunar in-situ resource utilization (ISRU).,2017-10-00,"Ho, K.; Chen, H.",
2017LPICo2041.5090C,https://www.hou.usra.edu/meetings/leag2017/pdf/5090.pdf,Coping with Dust for Extraterrestrial Exploration,Dust presented challenges for previous lunar exploration missions. Astronauts indicated more extensive pursuits are not possible unless solutions are found to mitigate/avoid exposure. I will present evidence along with mitigation proposals.,2017-10-00,"Creel, R.",
2017LPICo2041.5091A,https://www.hou.usra.edu/meetings/leag2017/pdf/5091.pdf,The 2017 Space Resources Roundtable and New Space Resources Graduate Program at Colorado School of Mines,"For eighteen years, SRR has brought together interested individuals from the space exploration community, the mining and minerals industries, and the financial sector to discuss issues related to the ISRU of lunar, asteroidal, and martian resources.",2017-10-00,"Abbud-Madrid, A.",
2017LPICo2041.5092X,https://www.hou.usra.edu/meetings/leag2017/pdf/5092.pdf,China's Lunar Exploration Programme,Update on China's lunar program.,2017-10-00,"Xiao, L.; Wang, Q.",
2017LPICo2041.5093M,https://www.hou.usra.edu/meetings/leag2017/pdf/5093.pdf,Japanese Space Program Update,"The JAXA's overall moon exploration scenario, including the water utilization, will be presented.",2017-10-00,"Masuda, K.; Sato, N.",
2018LPI....49.2668R,https://www.hou.usra.edu/meetings/lpsc2018/pdf/2668.pdf,The Planetary Science Workforce: Who Is Missing?,"Absence of voices / Lost paths, lost thoughts, lost ideas / Who we are missing?",2018-03-00,"Rathbun, J. A.; Diniega, S.; Quick, L. C.; Grinspoon, D. H.; Hörst, S. M.; Lakdawalla, E. S.; Mandt, K. E.; Milazzo, M.; Piatek, J.; Prockter, L. M.; Rivera-Valentin, E. G.; Rivkin, A. S.; Thomas, C.; Tiscareno, M. S.; Turtle, E. P.; Vertesi, J. A.; Zellner, N.",
2018LPICo2045.2001H,https://www.hou.usra.edu/meetings/oceanworlds2018/pdf/2001.pdf,Plumes Across the Solar System — When is Cryovolcanism Implicated?,"Plumes have been detected at Enceladus, Triton, Mars, and probably Europa. This talk compares and contrasts their properties, with implications for the driving processes.",2018-06-00,"Hansen, C. J.",
2018LPICo2045.2002L,https://www.hou.usra.edu/meetings/oceanworlds2018/pdf/2002.pdf,Cryomagma Ascent on Europa,This study aims at modeling the cryomagma ascent from a liquid reservoir to Europa's surface. We obtain the eruption duration and emitted cryomagma volume at the surface for different chamber depths and volumes and different cryomagma compositions.,2018-06-00,"Lesage, E.; Massol, H.; Schmidt, F.",
